gen 31 00:11:13|5[info]31/01/2015 00:11:12 - [UTENTE = ][REMOTE IP = 157.55.39.92][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
gen 31 01:11:32|5[info]31/01/2015 01:11:32 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][is_ajax = 1][layout = thumb][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:11:36|5[info]31/01/2015 01:11:36 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:11:41|5[info]31/01/2015 01:11:41 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:11:58|5[info]31/01/2015 01:11:58 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:02|5[info]31/01/2015 01:12:02 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:05|5[info]31/01/2015 01:12:05 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][is_ajax = 1][layout = grid][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:32|5[info]31/01/2015 01:12:32 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:34|5[info]31/01/2015 01:12:34 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:41|5[info]31/01/2015 01:12:41 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:12:58|5[info]31/01/2015 01:12:58 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:24|5[info]31/01/2015 01:13:24 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][id_contenuto = Array][id_giacenza = Array][quantita = Array][note_13 = SOLO SE PRIMA SCELTA!][note_480 = Inserisci una nota sul prodotto][note_1004 = Inserisci una nota sul prodotto][note_970 = NON ALTE!][note_967 = Inserisci una nota sul prodotto][note_977 = Inserisci una nota sul prodotto][note_993 = Inserisci una nota sul prodotto][note_165 = Inserisci una nota sul prodotto][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:37|5[info]31/01/2015 01:13:37 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:40|5[info]31/01/2015 01:13:40 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:45|5[info]31/01/2015 01:13:45 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:48|5[info]31/01/2015 01:13:48 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:52|5[info]31/01/2015 01:13:52 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:55|5[info]31/01/2015 01:13:55 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:13:58|5[info]31/01/2015 01:13:58 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:07|5[info]31/01/2015 01:14:07 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:14|5[info]31/01/2015 01:14:14 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:52|5[info]31/01/2015 01:14:52 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = CheckoutPayment][params = Y29uZmlybT0wJmlkX29yZGluZT0zNDM=][stream = 4b5hak327390vaibdj1tnstfj3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:55|5[info]31/01/2015 01:14:55 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:57|5[info]31/01/2015 01:14:57 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:14:59|5[info]31/01/2015 01:14:59 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 13][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:15:07|5[info]31/01/2015 01:15:07 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:15:36|5[info]31/01/2015 01:15:36 - [UTENTE = ][REMOTE IP = 66.249.73.187][act = Search][gm = 31][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 31 01:16:48|5[info]31/01/2015 01:16:48 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:50|5[info]31/01/2015 01:16:50 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:51|5[info]31/01/2015 01:16:51 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:54|5[info]31/01/2015 01:16:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:56|5[info]31/01/2015 01:16:56 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:56|5[info]31/01/2015 01:16:56 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:16:59|5[info]31/01/2015 01:16:59 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:17:06|5[info]31/01/2015 01:17:06 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Orders][user_id = 7218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:17:09|5[info]31/01/2015 01:17:09 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:17:11|5[info]31/01/2015 01:17:11 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:17:13|5[info]31/01/2015 01:17:13 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:17:15|5[info]31/01/2015 01:17:15 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:18:39|5[info]31/01/2015 01:18:39 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:18:43|5[info]31/01/2015 01:18:43 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:18:47|5[info]31/01/2015 01:18:47 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:19:45|5[info]31/01/2015 01:19:45 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:19:47|5[info]31/01/2015 01:19:47 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:19:54|5[info]31/01/2015 01:19:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:20:51|5[info]31/01/2015 01:20:51 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:20:54|5[info]31/01/2015 01:20:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:09|5[info]31/01/2015 01:21:09 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:11|5[info]31/01/2015 01:21:11 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:11|5[info]31/01/2015 01:21:11 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:21|5[info]31/01/2015 01:21:21 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:22|5[info]31/01/2015 01:21:22 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:25|5[info]31/01/2015 01:21:25 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:31|5[info]31/01/2015 01:21:31 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:33|5[info]31/01/2015 01:21:33 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 41][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:35|5[info]31/01/2015 01:21:35 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 32][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:44|5[info]31/01/2015 01:21:44 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:46|5[info]31/01/2015 01:21:46 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:48|5[info]31/01/2015 01:21:48 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:21:48|5[info]31/01/2015 01:21:48 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
